promptid,stage,judge,digest,seed,num_ctx,FCD,FGR,FDF,ECS,clamped,approx_tokens,latency_s,attempts
10,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,242,2.45,1
10,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.5,0.0,0.0,0,120,2.07,1
11,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.0,0.5,0,718,3.35,1
11,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.5,0.0,0.5,0,297,2.45,1
11,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,163,2.24,1
12,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.85,0.0,0.5,0,843,3.89,1
12,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.75,0.0,0.5,0,458,2.69,1
12,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,195,2.26,1
13,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.67,0.0,0.5,0,526,2.94,1
13,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.5,0.0,0.5,0,382,2.63,1
13,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,200,2.4,1
14,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.0,0.0,0.0,0.5,0,73,2.22,1
14,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.25,0.25,0.5,0.5,0,231,2.42,1
14,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.0,0.0,1.0,0,62,2.04,1
15,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.25,0.75,0,658,2.94,1
15,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.4,0.3,0.0,0.5,0,366,2.46,1
15,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,123,2.23,1
16,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.25,0.75,0,350,2.65,1
16,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.5,0.0,0.5,0,326,2.45,1
16,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,139,2.24,1
17,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,610,2.94,1
17,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,414,2.62,1
17,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,150,2.27,1
18,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.25,0.5,0,751,3.26,1
18,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.75,0.0,0.5,0,368,2.63,1
18,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.83,0.5,0.0,0.5,0,136,2.25,1
19,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.83,0.25,0.0,0.0,0,296,2.62,1
19,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,1.0,0.5,0.0,0.5,0,249,2.44,1
19,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.0,0,148,2.24,1
20,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.67,0.25,0.75,0,421,2.65,1
20,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,250,2.4,1
20,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,154,2.23,1
21,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.25,0.75,0,619,2.93,1
21,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.33,0.25,0.0,0.5,0,279,2.43,1
21,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,168,2.23,1
22,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.25,0.75,0,507,2.65,1
22,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.75,0,356,2.45,1
22,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.75,0,196,2.25,1
23,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.25,0.75,0,294,2.45,1
23,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.25,1.0,0,256,2.4,1
23,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,146,2.22,1
24,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.75,0.25,0.75,0,713,3.33,1
24,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.33,0.25,0.0,0.5,0,293,2.43,1
24,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.25,0.25,0.5,0,158,2.13,1
25,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.85,0.25,0.5,0,838,3.88,1
25,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.75,0.0,0.5,0,453,2.67,1
25,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,190,2.25,1
26,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.0,0.5,0,822,3.59,1
26,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.5,0.0,0.5,0,280,2.47,1
26,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,123,2.22,1
27,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.0,0.5,0,595,2.93,1
27,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,359,2.45,1
27,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,164,2.24,1
28,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.85,0.0,0.5,0,856,3.57,1
28,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,283,2.44,1
28,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,134,2.22,1
29,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.85,0.0,0.5,0,942,3.89,1
29,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.0,0.5,0,314,2.46,1
29,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.0,0.5,0,129,2.23,1
30,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,765,3.29,1
30,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,352,2.44,1
30,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,119,2.2,1
31,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.67,0.0,0.5,0,793,3.31,1
31,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.5,0.0,0.5,0,288,2.43,1
31,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.5,0.0,0.5,0,107,2.03,1
32,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.0,0.5,0,946,3.84,1
32,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,355,2.49,1
32,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,151,2.22,1
33,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.85,0.0,0.25,0,1169,4.56,1
33,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,338,2.48,1
33,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,109,2.21,1
34,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,754,2.93,1
34,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,400,2.47,1
34,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,170,2.22,1
35,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.67,0.0,0.5,0,772,3.63,1
35,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.75,0.0,0.5,0,294,2.46,1
35,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.0,0,130,2.22,1
36,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.83,0.75,0.0,0.5,0,950,4.43,1
36,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.0,0,239,2.42,1
36,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.5,0.0,0.0,0,117,2.03,1
37,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.75,0.0,0.5,0,715,3.32,1
37,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.33,0.25,0.0,0.5,0,294,2.43,1
37,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.25,0.0,0.5,0,160,2.08,1
38,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.85,0.9,0.1,0.5,0,840,3.85,1
38,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.75,0.0,0.5,0,455,2.66,1
38,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,192,2.25,1
39,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,390,2.59,1
39,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.33,0.25,0.0,0.5,0,347,2.43,1
39,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.0,0.0,0.0,0,116,2.03,1
40,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,643,2.93,1
40,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,335,2.43,1
40,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.0,0.0,0.5,0,148,2.05,1
41,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.0,0.5,0,856,3.52,1
41,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,284,2.44,1
41,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,135,2.26,1
42,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.0,0,497,2.65,1
42,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,361,2.43,1
42,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,129,2.2,1
43,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,377,2.61,1
43,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,251,2.38,1
43,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.0,0.0,0.5,0,102,2.19,1
44,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,794,3.32,1
44,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,289,2.43,1
44,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.0,0.0,0.5,0,108,2.02,1
45,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,394,2.6,1
45,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.25,0.0,0.5,0,270,2.27,1
45,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.25,0.0,0.5,0,156,2.08,1
46,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,426,2.62,1
46,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,259,2.39,1
46,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.0,0.0,0.5,0,140,2.22,1
47,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.25,0.0,0.5,0,564,2.89,1
47,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,250,2.38,1
47,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.0,0.0,0.5,0,118,2.03,1
48,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.0,0,534,2.65,1
48,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,263,2.41,1
48,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.0,0,117,2.2,1
49,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,511,2.67,1
49,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,231,2.37,1
49,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.5,0.0,0.0,0,117,2.04,1
50,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.75,0.0,0.5,0,715,3.29,1
50,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.33,0.25,0.0,0.5,0,295,2.41,1
50,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,161,2.21,1
51,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,476,2.64,1
