promptid,stage,judge,digest,seed,num_ctx,FCD,FGR,FDF,ECS,clamped,approx_tokens,latency_s,attempts
4,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.75,0,355,2.12,1
4,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,122,1.94,1
5,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.88,0.25,0.67,0,796,2.99,1
5,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,1.0,0.5,0,291,2.07,1
5,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.25,0.5,0.0,1.0,0,110,1.87,1
6,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,949,3.62,1
6,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.67,0,358,2.22,1
6,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,154,1.92,1
7,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.83,1.0,0.0,1.0,0,1172,4.27,1
7,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.75,0,341,2.12,1
7,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,112,1.9,1
8,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.88,0.0,1.0,0,757,2.68,1
8,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.5,1.0,0.75,0,403,2.13,1
8,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.25,0.0,0.0,0.5,0,173,1.89,1
9,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,775,3.02,1
9,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.67,0,297,2.1,1
9,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,133,1.86,1
10,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,953,3.8,1
10,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,242,2.08,1
10,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.25,1.0,0.5,0.75,0,120,1.93,1
11,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,718,2.98,1
11,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.5,0.25,1.0,0,297,2.11,1
11,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,1.0,0.5,0,163,1.88,1
12,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.88,0.0,0.67,0,843,3.86,1
12,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.75,0,458,2.38,1
12,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,195,1.96,1
13,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.65,0.15,0.75,0,526,2.71,1
13,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.5,1.0,0.8,0,382,2.34,1
13,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,1.0,0.5,0,200,2.17,1
14,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.0,1.0,1.0,1.0,0,73,1.98,1
14,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.25,1.0,0.5,0.75,0,231,2.15,1
14,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.0,0.0,1.0,1.0,0,62,2.09,1
15,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,1.0,0.25,0.75,0,658,2.75,1
15,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.25,1.0,0.75,0.5,0,366,2.2,1
15,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,123,1.92,1
16,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,1.0,0,350,2.3,1
16,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.67,0,326,2.11,1
16,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,1.0,0.75,0.5,1.0,0,139,1.93,1
17,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.95,0.85,0.05,0.75,0,610,2.65,1
17,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,1.0,0.5,0,414,2.36,1
17,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,150,1.88,1
18,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,1.0,0.2,0.75,0,751,3.03,1
18,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,1.0,0,368,2.17,1
18,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,1.0,0,136,1.9,1
19,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,296,2.13,1
19,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,1.0,0,249,2.1,1
19,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,148,1.93,1
20,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.8,1.0,0.5,1.0,0,421,2.35,1
20,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,1.0,0,250,2.16,1
20,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,1.0,0.0,0.0,1.0,0,154,1.9,1
21,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.65,1.0,0.9,0,619,2.59,1
21,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,1.0,0,279,2.1,1
21,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,168,1.94,1
22,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.65,0.25,0.75,0,507,2.36,1
22,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.88,1.0,0.5,0,356,2.15,1
22,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.67,0.33,1.0,0,196,1.93,1
23,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.9,0.8,1.0,0.5,0,294,2.15,1
23,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.75,0,256,2.17,1
23,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,1.0,0.5,0,146,1.95,1
24,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,713,3.19,1
24,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.5,0.25,1.0,0,293,2.31,1
24,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,1.0,0.5,0,158,2.05,1
25,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.95,0.0,0.75,0,838,3.84,1
25,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.95,1.0,0.9,0,453,2.41,1
25,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,1.0,0,190,2.01,1
26,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,822,3.37,1
26,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,280,2.09,1
26,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,123,1.89,1
27,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.88,0.0,1.0,0,595,2.67,1
27,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.75,0,359,2.11,1
27,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,164,1.88,1
28,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.9,1.0,0.0,0.5,0,856,3.37,1
28,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.75,0,283,2.07,1
28,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.25,0,134,1.86,1
29,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,942,3.74,1
29,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.67,0,314,2.1,1
29,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,129,1.88,1
30,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.35,0.0,0.2,0,765,2.95,1
30,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.75,0,352,2.08,1
30,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,0.5,0,119,1.85,1
31,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.65,0.05,0.75,0,793,2.98,1
31,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.75,0,288,2.05,1
31,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,107,1.86,1
32,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,946,3.71,1
32,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.25,0,355,2.1,1
32,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,0.5,0,151,1.86,1
33,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,1.0,0.0,0.5,0,1169,4.17,1
33,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.75,0,338,2.1,1
33,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,109,1.84,1
34,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.88,0.0,1.0,0,754,2.58,1
34,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.5,1.0,0.75,0,400,2.07,1
34,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,170,1.85,1
35,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,772,2.96,1
35,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,294,2.08,1
35,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,1.0,1.0,0.5,1.0,0,130,1.86,1
36,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.8,1.0,0.0,0.5,0,950,3.71,1
36,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,239,2.03,1
36,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,117,1.83,1
37,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,715,2.92,1
37,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.5,1.0,0.75,0,294,2.04,1
37,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,1.0,0.5,0,160,1.85,1
38,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.95,0.0,0.75,0,840,3.67,1
38,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.95,0.05,1.0,0,455,2.29,1
38,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,192,1.87,1
39,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,0.5,0,390,2.24,1
39,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,1.0,0.5,0,347,2.07,1
39,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,0.5,0,116,1.85,1
40,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.65,0.0,0.75,0,643,2.62,1
40,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.25,0,335,2.07,1
40,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,1.0,0,148,1.85,1
41,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.9,1.0,0.0,0.5,0,856,3.36,1
41,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,1.0,0,284,2.04,1
41,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.5,0,135,1.86,1
42,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.65,0.0,1.0,0,497,2.29,1
42,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.25,0,361,2.08,1
42,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,129,1.85,1
43,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.9,0.6,0.0,1.0,0,377,2.26,1
43,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,251,2.02,1
43,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,102,1.84,1
44,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.85,0.65,0.05,0.75,0,794,2.97,1
44,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.25,0,289,2.05,1
44,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,108,1.85,1
45,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,394,2.24,1
45,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.25,1.0,0.5,0.75,0,270,2.05,1
45,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.25,0.0,0.0,1.0,0,156,1.88,1
46,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.9,0.2,0.0,1.0,0,426,2.26,1
46,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,259,2.04,1
46,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.0,0.0,1.0,0,140,1.86,1
47,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,564,2.53,1
47,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,1.0,0.5,0,250,2.02,1
47,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,0.0,1.0,0,118,1.84,1
48,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.9,0.8,0.0,0.6,0,534,2.28,1
48,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.25,0,263,2.04,1
48,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.0,0.0,0.25,0,117,1.86,1
49,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.9,0.8,0.0,1.0,0,511,2.29,1
49,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,1.0,0.5,0,231,2.03,1
49,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,117,1.86,1
50,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,715,2.96,1
50,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.5,0.25,1.0,0,295,2.05,1
50,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.25,1.0,0.5,0,161,1.86,1
51,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.9,1.0,0.0,1.0,0,476,2.27,1
51,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,302,2.05,1
51,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,108,1.85,1
52,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,823,3.37,1
52,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,281,2.06,1
52,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,125,1.86,1
53,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.88,0.0,1.0,0,596,2.6,1
53,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.67,0,360,2.06,1
53,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,165,1.86,1
54,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.9,1.0,0.0,0.5,0,857,3.35,1
