promptid,subset,front_FCD,front_FGR,front_FDF,front_ECS,front_OSR,front_cache_hit,front_len_words,front_sha256_12,second_FCD,second_FGR,second_FDF,second_ECS,second_OSR,second_cache_hit,second_len_words,second_sha256_12,third_FCD,third_FGR,third_FDF,third_ECS,third_OSR,third_cache_hit,third_len_words,third_sha256_12,evaluator_substituted
12,realistic,0.55,0.25,0.15,0.8,0.05,0,445,72ba1cd03b47,0.45,0.3,0.2,0.85,0.3,0,228,78298fc2c9d2,0.4,0.35,0.25,0.9,0.09999999999999999,0,85,7dccf5217703,0
13,realistic,0.55,0.25,0.0,0.0,0.06,0,281,71cbb069c5a4,0.45,0.15,0.1,0.05,0.36,0,187,f49f6807d7e7,0.6,0.2,0.0,0.0,0.05,0,97,348ed2c0353c,0
14,realistic,0.0,1.0,0.5,1.0,0.05,0,27,7fc977d581ed,0.25,0.75,0.33,0.67,0.44,0,114,d05ca94ae252,1.0,0.0,0.0,1.0,0.05,0,18,5a4ac81cbea8,0
15,realistic,0.55,0.22,0.01,0.0,0.19999999999999998,0,349,5e0a0265293a,0.38,0.15,0.03,0.02,0.36,0,170,197a1dd5dc8d,0.45,0.2,0.01,0.0,0.05,0,52,efb45d55c652,0
16,realistic,0.55,0.25,0.15,0.8,0.15999999999999998,0,186,171e348a9139,0.4,0.2,0.3,0.9,0.42,0,149,81349f4d3a31,0.6,0.15,0.1,0.85,0.06,0,56,cad60420cce4,0
17,realistic,0.5,0.25,0.0,0.0,0.09999999999999999,0,304,67116acf2403,0.6,0.3,0.05,0.1,0.3,0,208,0a91eba780b9,0.65,0.35,0.0,0.15,0.05,0,62,00c12da9fa1f,0
18,realistic,0.55,0.25,0.0,0.0,0.09999999999999999,0,385,bb1a0faa0cbc,0.35,0.4,0.2,0.3,0.5,0,181,bfca57bc9362,0.25,0.5,0.35,0.4,0.06,0,57,b1e40114e249,0
19,realistic,0.75,0.25,0.0,0.0,0.09999999999999999,0,146,e6ec9063bc15,0.8,0.2,0.0,0.0,0.3,0,116,091529345c32,0.75,0.25,0.0,0.0,0.05,0,64,88277a3736d9,0
20,realistic,0.55,0.22,0.01,0.0,0.06,0,204,106a9b0d2bd4,0.45,0.15,0.02,0.05,0.3,0,96,c0f6bdeea8ea,0.4,0.1,0.03,0.1,0.05,0,57,451f2eb4b70c,0
21,realistic,0.55,0.25,0.05,0.8,0.19999999999999998,0,303,b5bf788536fe,0.35,0.15,0.1,0.9,0.42,0,126,7d44aff3f4e4,0.45,0.2,0.08,0.85,0.05,1,73,83106009cd8e,0
22,realistic,0.55,0.25,0.0,0.0,0.3,0,257,efd0567328fe,0.45,0.15,0.05,0.1,0.3,0,165,9254cc176c50,0.5,0.2,0.0,0.15,0.09999999999999999,0,78,07572881e3d6,0
23,realistic,0.5,0.25,0.0,0.75,0.36,0,134,b05ca8cea198,0.6,0.3,0.1,0.8,0.36,0,111,f658d3fc2bd1,0.55,0.2,0.05,0.85,0.19999999999999998,0,57,94314ba02cf8,0
24,realistic,0.55,0.22,0.12,0.85,0.5,1,339,b002e9b87f96,0.42,0.18,0.08,0.92,0.42,1,123,039edb821b06,0.68,0.25,0.15,0.88,0.05,1,62,3c84948d245b,0
25,realistic,0.55,0.25,0.0,0.1,0.05,1,445,72ba1cd03b47,0.45,0.3,0.05,0.2,0.3,1,228,78298fc2c9d2,0.4,0.35,0.1,0.3,0.09999999999999999,1,85,7dccf5217703,0
26,realistic,0.5,0.25,0.0,0.0,0.09999999999999999,1,424,19cdaf38998b,0.75,0.5,0.0,0.25,0.3,1,127,00d07085dd89,0.8,0.6,0.0,0.3,0.05,1,46,d71a9fe028cd,0
27,realistic,0.55,0.25,0.15,0.8,0.15999999999999998,1,313,84cfc93f969e,0.65,0.3,0.1,0.9,0.42,1,175,b0e02793be85,0.7,0.35,0.05,0.95,0.15999999999999998,1,71,eeeea7c3aeac,0
28,realistic,0.55,0.45,0.15,0.8,0.19999999999999998,1,452,6b129c190c99,0.65,0.5,0.2,0.9,0.36,1,125,f80f2cbbfe45,0.7,0.55,0.1,0.95,0.05,1,52,14bc80857532,0
29,realistic,0.0,1.0,0.0,0.0,0.05,1,516,75855bab37dd,0.25,0.75,0.1,0.2,0.36,1,155,92e3df106426,0.5,0.5,0.05,0.3,0.05,1,57,f0f4f7cf0663,0
30,realistic,0.5,0.5,0.2,0.2,0.19999999999999998,1,367,57c2dc43083a,0.45,0.45,0.25,0.25,0.36,1,161,e469f611ae06,0.4,0.4,0.3,0.3,0.05,1,40,7092a612880b,1
31,realistic,0.25,0.5,0.0,0.0,0.15999999999999998,1,391,9ebb2cafd334,0.75,0.6,0.1,0.2,0.36,1,135,4f4b616270e3,0.8,0.7,0.05,0.3,0.05,1,39,463c6e31750e,0
32,realistic,0.55,0.45,0.0,0.0,0.09999999999999999,1,524,02a97e6e03cb,0.35,0.3,0.2,0.1,0.42,1,174,354b11d889b1,0.5,0.4,0.05,0.05,0.06,1,61,403319fa03e1,0
33,realistic,0.5,0.5,0.2,0.2,0.06,1,640,cc6f93f64af7,0.45,0.45,0.25,0.25,0.5,1,170,2d4b4f7fe1da,0.4,0.4,0.3,0.3,0.05,1,41,7e0dec0a48f8,1
34,realistic,0.55,0.25,0.15,0.8,0.26,1,370,68e13c3cd8ab,0.45,0.3,0.2,0.9,0.42,1,187,ad05ae9c7b5d,0.6,0.2,0.1,0.85,0.05,1,73,83106009cd8e,0
35,realistic,0.75,0.25,0.0,0.0,0.15999999999999998,1,412,f9ae745e926c,0.6,0.4,0.1,0.2,0.36,1,141,218b968cdef6,0.8,0.2,0.0,0.0,0.19999999999999998,1,51,e08ceb41d4d7,0
36,realistic,0.75,0.25,0.0,0.0,0.42,1,519,3d015bbc22b3,0.5,0.4,0.1,0.0,0.26,1,107,df99f41728ab,0.6,0.3,0.05,0.05,0.05,1,47,ee36aca71d54,0
37,realistic,0.45,0.25,0.15,0.8,0.5,1,339,b002e9b87f96,0.35,0.3,0.2,0.9,0.42,1,123,039edb821b06,0.5,0.4,0.1,0.95,0.05,1,62,3c84948d245b,0
38,realistic,0.55,0.25,0.0,0.1,0.05,1,445,72ba1cd03b47,0.45,0.3,0.05,0.2,0.3,1,228,78298fc2c9d2,0.4,0.35,0.1,0.3,0.09999999999999999,1,85,7dccf5217703,0
39,realistic,0.45,0.25,0.0,0.1,0.05,0,194,fd579e62b6e7,0.3,0.15,0.05,0.2,0.36,0,159,b22329c5ab79,0.4,0.2,0.0,0.15,0.05,0,44,4a0d5fb036d3,0
40,realistic,0.55,0.25,0.05,0.8,0.38,0,352,b07f3188c9b0,0.45,0.15,0.1,0.9,0.42,0,149,0d582cc78290,0.35,0.05,0.2,0.95,0.42,0,57,c099d0813978,0
41,realistic,0.55,0.45,0.15,0.8,0.19999999999999998,1,452,6b129c190c99,0.65,0.4,0.2,0.9,0.36,1,125,f80f2cbbfe45,0.7,0.35,0.1,0.95,0.05,1,52,14bc80857532,0
42,realistic,0.45,0.25,0.0,0.1,0.09999999999999999,0,257,dfd324052a4b,0.3,0.15,0.05,0.2,0.36,0,170,5413c50c741e,0.4,0.2,0.0,0.15,0.05,0,48,edaf5c5e69aa,0
43,realistic,0.25,0.15,0.0,0.5,0.09999999999999999,0,196,d639a4cbcbfc,0.3,0.2,0.0,0.6,0.42,0,107,9ae8fff0b61c,0.35,0.25,0.0,0.7,0.05,0,31,ac8d2abd8bfe,0
44,realistic,0.5,0.25,0.0,0.0,0.15999999999999998,1,391,9ebb2cafd334,0.75,0.4,0.1,0.2,0.36,1,135,4f4b616270e3,0.6,0.3,0.05,0.15,0.05,1,39,463c6e31750e,0
45,realistic,0.45,0.25,0.0,0.5,0.05,0,203,5c792b5ab34b,0.3,0.15,0.1,0.8,0.36,0,128,a984708e0d50,0.2,0.05,0.2,0.9,0.26,0,68,d3c6b87e3f34,0
46,realistic,0.25,0.15,0.0,0.5,0.05,0,228,17a10242330b,0.3,0.2,0.0,0.6,0.19999999999999998,0,113,1faa4a846593,0.35,0.25,0.0,0.7,0.05,0,58,fb2742b11c09,0
47,realistic,0.45,0.25,0.0,0.1,0.18,0,298,a75cfaad7742,0.3,0.15,0.05,0.2,0.36,0,107,eed8bf99b09a,0.4,0.2,0.0,0.15,0.09999999999999999,0,45,1b3cb166b057,0
48,realistic,0.45,0.25,0.0,0.0,0.19999999999999998,0,274,38a29f800d05,0.35,0.15,0.05,0.1,0.36,0,115,b8dbbc7121e5,0.4,0.2,0.0,0.05,0.09999999999999999,0,38,d378139f49b5,0
49,realistic,0.85,0.15,0.0,0.1,0.05,0,264,19fab35a51ba,0.6,0.2,0.0,0.15,0.19999999999999998,0,103,8f5c46609ad9,0.4,0.3,0.1,0.2,0.05,1,47,ee36aca71d54,0
50,realistic,0.45,0.25,0.15,0.8,0.5,1,339,b002e9b87f96,0.3,0.1,0.2,0.9,0.42,1,123,039edb821b06,0.4,0.15,0.25,0.95,0.05,1,62,3c84948d245b,0
51,realistic,0.5,0.5,0.2,0.2,0.05,0,235,44821f951cea,0.45,0.45,0.25,0.25,0.5,0,138,32c56de3f947,0.4,0.4,0.3,0.3,0.05,0,36,dd2df5d7c270,1
52,realistic,0.55,0.25,0.15,0.8,0.09999999999999999,1,424,19cdaf38998b,0.65,0.3,0.1,0.9,0.3,1,127,00d07085dd89,0.6,0.25,0.12,0.85,0.05,1,46,d71a9fe028cd,0
53,realistic,0.55,0.25,0.15,0.8,0.15999999999999998,1,313,84cfc93f969e,0.65,0.3,0.1,0.9,0.42,1,175,b0e02793be85,0.7,0.35,0.05,0.95,0.15999999999999998,1,71,eeeea7c3aeac,0
54,realistic,0.55,0.45,0.15,0.8,0.19999999999999998,1,452,6b129c190c99,0.65,0.5,0.2,0.9,0.36,1,125,f80f2cbbfe45,0.7,0.55,0.1,0.95,0.05,1,52,14bc80857532,0
55,realistic,0.5,0.25,0.0,0.0,0.05,1,516,75855bab37dd,0.6,0.3,0.1,0.2,0.36,1,155,92e3df106426,0.65,0.35,0.15,0.3,0.05,1,57,f0f4f7cf0663,0
56,realistic,0.5,0.5,0.2,0.2,0.19999999999999998,1,367,57c2dc43083a,0.45,0.45,0.25,0.25,0.36,1,161,e469f611ae06,0.4,0.4,0.3,0.3,0.05,1,40,7092a612880b,1
57,realistic,0.5,0.25,0.0,0.0,0.15999999999999998,1,391,9ebb2cafd334,0.75,0.4,0.1,0.2,0.36,1,135,4f4b616270e3,0.6,0.3,0.05,0.15,0.05,1,39,463c6e31750e,0
58,realistic,0.55,0.45,0.0,0.0,0.09999999999999999,1,524,02a97e6e03cb,0.65,0.6,0.2,0.1,0.42,1,174,354b11d889b1,0.7,0.55,0.0,0.05,0.06,1,61,403319fa03e1,0
59,realistic,0.5,0.5,0.2,0.2,0.06,1,640,cc6f93f64af7,0.45,0.45,0.25,0.25,0.5,1,170,2d4b4f7fe1da,0.4,0.4,0.3,0.3,0.05,1,41,7e0dec0a48f8,1
60,realistic,0.45,0.25,0.15,0.8,0.26,1,370,68e13c3cd8ab,0.35,0.2,0.3,0.9,0.42,1,187,ad05ae9c7b5d,0.4,0.15,0.25,0.85,0.05,1,73,83106009cd8e,0
61,realistic,0.55,0.33,0.0,0.0,0.15999999999999998,1,412,f9ae745e926c,0.45,0.25,0.05,0.1,0.36,1,141,218b968cdef6,0.4,0.2,0.0,0.15,0.19999999999999998,1,51,e08ceb41d4d7,0
62,realistic,0.75,0.25,0.0,0.0,0.42,1,519,3d015bbc22b3,0.8,0.2,0.0,0.0,0.26,1,107,df99f41728ab,0.85,0.15,0.0,0.0,0.05,1,47,ee36aca71d54,0
63,realistic,0.55,0.25,0.15,0.8,0.5,1,339,b002e9b87f96,0.4,0.3,0.2,0.9,0.42,1,123,039edb821b06,0.6,0.35,0.1,0.95,0.05,1,62,3c84948d245b,0
64,realistic,0.55,0.25,0.0,0.1,0.05,1,445,72ba1cd03b47,0.45,0.3,0.05,0.2,0.3,1,228,78298fc2c9d2,0.4,0.35,0.1,0.3,0.09999999999999999,1,85,7dccf5217703,0
65,realistic,0.55,0.25,0.15,0.8,0.09999999999999999,1,424,19cdaf38998b,0.65,0.3,0.1,0.9,0.3,1,127,00d07085dd89,0.6,0.2,0.12,0.85,0.05,1,46,d71a9fe028cd,0
66,realistic,0.55,0.45,0.15,0.8,0.15999999999999998,1,313,84cfc93f969e,0.65,0.35,0.1,0.9,0.42,1,175,b0e02793be85,0.75,0.25,0.05,0.95,0.15999999999999998,1,71,eeeea7c3aeac,0
67,realistic,0.55,0.25,0.15,0.8,0.09999999999999999,0,422,aef6280557c0,0.4,0.2,0.3,0.9,0.36,0,130,52f92cbb59a5,0.6,0.15,0.1,0.95,0.09999999999999999,0,37,46c0628ee644,0
68,realistic,0.55,0.25,0.0,0.0,0.19999999999999998,0,358,b16a5e0971ca,0.4,0.15,0.1,0.05,0.36,0,115,af7180ef512c,0.6,0.2,0.0,0.0,0.06,0,52,d01904709066,0
69,realistic,0.5,0.25,0.0,0.0,0.09999999999999999,0,251,a3dd38e2bba9,0.75,0.4,0.05,0.1,0.38,0,146,79edfd7e09b4,0.8,0.45,0.0,0.2,0.18,0,60,f5893b0413f2,0
70,realistic,0.75,0.25,0.05,0.8,0.09999999999999999,0,425,2959cbbdced1,0.6,0.3,0.1,0.9,0.36,0,167,a197af240a07,0.85,0.15,0.05,0.95,0.05,0,58,97fc710689d5,0
71,realistic,0.5,0.5,0.2,0.2,0.06,0,502,4ff5abf011b7,0.45,0.45,0.25,0.25,0.5,0,156,44497633eb38,0.4,0.4,0.3,0.3,0.05,0,27,b669a1782c48,1
72,realistic,0.55,0.25,0.15,0.8,0.09999999999999999,0,320,4198e3558164,0.45,0.2,0.1,0.9,0.36,0,142,6ed42649cc28,0.4,0.15,0.05,0.95,0.05,0,37,fcbe64ecbe34,0
73,realistic,0.45,0.25,0.15,0.8,0.16000000000000003,0,281,384922dec476,0.3,0.1,0.2,0.9,0.44,0,147,0030506bb0bd,0.4,0.15,0.18,0.85,0.08000000000000002,0,45,5dc9123df0d8,0
74,realistic,0.55,0.45,0.15,0.8,0.19999999999999998,0,392,663d7109fbd4,0.3,0.2,0.4,0.9,0.42,0,127,123e7b6c91ee,0.45,0.35,0.25,0.85,0.05,0,39,0b7336072d7b,0
75,realistic,0.75,0.25,0.0,0.5,0.42,1,519,3d015bbc22b3,0.8,0.2,0.0,0.6,0.26,1,107,df99f41728ab,0.85,0.15,0.0,0.4,0.05,1,47,ee36aca71d54,0
76,realistic,0.55,0.25,0.15,0.8,0.5,1,339,b002e9b87f96,0.4,0.3,0.2,0.9,0.42,1,123,039edb821b06,0.6,0.35,0.1,0.95,0.05,1,62,3c84948d245b,0
77,realistic,0.75,0.25,0.05,0.9,0.09999999999999999,0,378,fd704d14bff8,0.8,0.2,0.03,0.95,0.26,0,125,93cc95694aed,0.85,0.15,0.02,0.98,0.09999999999999999,0,62,2979d87513f5,0
78,realistic,0.55,0.25,0.0,0.0,0.06,1,281,71cbb069c5a4,0.45,0.15,0.1,0.2,0.36,1,187,f49f6807d7e7,0.6,0.3,0.05,0.15,0.05,1,97,348ed2c0353c,0
79,realistic,0.75,0.0,1.0,1.0,0.05,1,27,7fc977d581ed,0.5,0.25,0.75,0.75,0.44,1,114,d05ca94ae252,0.0,0.0,1.0,1.0,0.05,1,18,5a4ac81cbea8,0
80,realistic,0.75,0.25,0.0,0.0,0.3,0,296,61bc2be1077f,0.6,0.3,0.1,0.2,0.3,0,147,9a1ed937491d,0.8,0.15,0.05,0.4,0.09999999999999999,1,37,46c0628ee644,0
81,realistic,0.45,0.25,0.0,0.1,0.05,0,316,394decb6aed3,0.3,0.15,0.05,0.2,0.36,1,115,af7180ef512c,0.4,0.2,0.0,0.15,0.06,1,52,d01904709066,0
82,realistic,0.85,0.2,0.05,0.9,0.05,0,263,142fef8bb3ff,0.6,0.3,0.15,0.8,0.36,0,126,389431c600ad,0.75,0.25,0.1,0.85,0.05,0,46,d097c6774c67,0
83,realistic,0.25,0.15,0.05,0.8,0.19999999999999998,0,292,f0630df27e1a,0.3,0.2,0.1,0.9,0.36,0,163,511928cd7ef0,0.35,0.25,0.15,0.95,0.05,0,55,fcc64ec6cc1e,0
84,realistic,0.55,0.35,0.25,0.75,0.09999999999999999,0,344,10ecdb6cff42,0.45,0.3,0.4,0.8,0.36,0,145,1839a36e6dfe,0.6,0.25,0.2,0.9,0.06,0,55,0b832f82a23a,0
85,realistic,0.0,0.0,0.0,1.0,0.09999999999999999,0,299,acaf08e93975,0.25,0.5,0.75,0.8,0.44,0,124,3d80fabd106e,0.0,0.0,0.0,1.0,0.05,0,38,9efd384e6d05,0
86,realistic,0.5,0.5,0.2,0.2,0.36,0,436,5b673748cb42,0.45,0.45,0.25,0.25,0.44,0,310,4572da3bfc4e,0.4,0.4,0.3,0.3,0.18,0,85,2544c7d26e20,1
87,realistic,0.75,0.25,0.0,1.0,0.26,0,211,cdc8722bd97c,0.8,0.2,0.0,1.0,0.42,0,108,7d78c5478a59,0.85,0.15,0.0,1.0,0.05,0,32,344e68d4b7b8,0
88,realistic,0.45,0.25,0.0,0.1,0.3,0,230,d3249b20ae69,0.3,0.15,0.05,0.2,0.44,0,116,8b1611cb5b2a,0.4,0.2,0.0,0.15,0.08000000000000002,0,35,ac39983d72cc,0
89,realistic,0.25,0.15,0.05,0.8,0.3,0,306,564080768aaf,0.1,0.05,0.2,0.95,0.36,0,124,c0911ec6001b,0.3,0.2,0.1,0.85,0.05,0,46,e0552a57c965,0
90,realistic,0.0,1.0,0.0,0.0,0.05,0,21,2247b397584a,0.5,0.25,0.75,0.9,0.19999999999999998,0,78,56c49ceccb58,0.6,0.3,0.8,0.95,0.06,0,48,efe00f8f4ee7,0
91,realistic,0.55,0.25,0.15,0.8,0.08000000000000002,0,235,b6630874fe0b,0.3,0.1,0.2,0.9,0.36,0,138,6de5e2c5dc9d,0.4,0.15,0.25,0.85,0.26,0,55,7d0f3c7c0d36,0
92,realistic,0.25,0.15,0.0,0.5,0.28,0,362,bdea4cd30fae,0.3,0.2,0.1,0.6,0.42,0,185,619c9ecbbbdd,0.35,0.25,0.05,0.7,0.09999999999999999,0,49,1e9de46b98ef,0
93,realistic,0.55,0.28,0.12,0.85,0.43999999999999995,0,484,a50edbfb332d,0.42,0.21,0.18,0.92,0.42,0,151,74e5f996a0b1,0.38,0.19,0.22,0.98,0.09999999999999999,0,35,9eeccd07766c,0
94,realistic,0.5,0.25,0.0,0.0,0.19999999999999998,1,358,b16a5e0971ca,0.4,0.3,0.1,0.2,0.36,1,115,af7180ef512c,0.6,0.15,0.0,0.3,0.06,1,52,d01904709066,0
95,realistic,0.5,0.25,0.0,0.0,0.09999999999999999,1,251,a3dd38e2bba9,0.6,0.3,0.05,0.1,0.38,1,146,79edfd7e09b4,0.65,0.35,0.0,0.2,0.18,1,60,f5893b0413f2,0
96,realistic,0.55,0.22,0.12,0.85,0.09999999999999999,1,425,2959cbbdced1,0.38,0.15,0.25,0.92,0.36,1,167,a197af240a07,0.42,0.18,0.2,0.88,0.05,1,58,97fc710689d5,0
97,realistic,0.5,0.5,0.2,0.2,0.06,1,502,4ff5abf011b7,0.45,0.45,0.25,0.25,0.5,1,156,44497633eb38,0.4,0.4,0.3,0.3,0.05,1,27,b669a1782c48,1
98,realistic,0.55,0.25,0.0,0.1,0.09999999999999999,1,320,4198e3558164,0.45,0.15,0.05,0.2,0.36,1,142,6ed42649cc28,0.35,0.1,0.0,0.3,0.05,1,37,fcbe64ecbe34,0
99,realistic,0.5,0.5,0.2,0.2,0.18,0,572,3b5feb1e4fde,0.45,0.45,0.25,0.25,0.42,0,246,29637ff658b4,0.4,0.4,0.3,0.3,0.08000000000000002,0,61,aade62393b88,1
100,realistic,0.45,0.25,0.15,0.8,0.19999999999999998,1,392,663d7109fbd4,0.3,0.1,0.4,0.95,0.42,1,127,123e7b6c91ee,0.35,0.2,0.3,0.9,0.05,1,39,0b7336072d7b,0
101,realistic,0.55,0.22,0.0,0.0,0.28,0,264,5803b1e48df4,0.45,0.15,0.05,0.1,0.44,0,235,1aee904c65d9,0.4,0.12,0.0,0.15,0.09999999999999999,0,53,9d283e2b8456,0
102,realistic,0.85,0.75,0.0,0.0,0.19999999999999998,0,326,f0b948e6c54f,0.6,0.4,0.2,0.8,0.36,0,163,74596701435c,0.3,0.1,0.5,1.0,0.09999999999999999,0,57,1673c6f97cc2,0
103,realistic,0.5,0.25,0.0,0.75,0.09999999999999999,1,378,fd704d14bff8,0.6,0.3,0.0,0.8,0.26,1,125,93cc95694aed,0.65,0.35,0.0,0.85,0.09999999999999999,1,62,2979d87513f5,0
104,realistic,0.45,0.25,0.0,0.1,0.05,1,194,fd579e62b6e7,0.3,0.15,0.05,0.2,0.36,1,159,b22329c5ab79,0.4,0.2,0.0,0.15,0.05,1,44,4a0d5fb036d3,0
105,realistic,0.55,0.25,0.05,0.8,0.38,1,352,b07f3188c9b0,0.45,0.15,0.1,0.9,0.42,1,149,0d582cc78290,0.35,0.05,0.2,0.95,0.42,1,57,c099d0813978,0
106,realistic,0.45,0.25,0.0,0.1,0.09999999999999999,0,198,fcb6b7288210,0.3,0.15,0.05,0.2,0.36,0,130,01f2bca485a6,0.4,0.2,0.0,0.3,0.09999999999999999,0,59,60fad183562f,0
107,realistic,0.25,0.15,0.0,0.1,0.18,0,299,637ae9a3534f,0.2,0.05,0.0,0.15,0.36,0,132,d8b8cb79a03c,0.3,0.1,0.0,0.2,0.05,0,36,1125fc1cd8ef,0
108,realistic,0.25,0.15,0.0,0.5,0.15999999999999998,0,336,9424722d9268,0.1,0.05,0.2,0.8,0.44,0,148,ac0c6cf09136,0.0,0.0,0.3,1.0,0.05,0,47,cce99f45aa17,0
109,realistic,0.25,0.15,0.05,0.8,0.09999999999999999,0,291,55398031fd81,0.1,0.05,0.2,0.95,0.36,0,169,a66df5a1fa73,0.15,0.1,0.3,0.9,0.05,0,34,edd49270b631,0
110,realistic,0.45,0.25,0.0,0.0,0.05,0,251,9cfb6f4829c5,0.3,0.15,0.05,0.1,0.36,0,105,1e6bd06bf3dc,0.2,0.1,0.0,0.15,0.26,0,61,7111e883f9b9,0
111,realistic,0.25,0.15,0.0,0.1,0.05,0,220,826b6e252288,0.2,0.05,0.0,0.15,0.38,0,105,859dbabbd895,0.3,0.1,0.0,0.2,0.05,1,37,fcbe64ecbe34,0
112,realistic,0.25,0.15,0.05,0.8,0.08000000000000002,0,284,ff284ebecab0,0.3,0.2,0.1,0.9,0.44,0,219,4c3c3b582c53,0.35,0.25,0.15,0.85,0.05,0,80,4cc2dc679634,0
113,realistic,0.45,0.25,0.0,0.1,0.09999999999999999,0,322,ff9eb7439399,0.35,0.15,0.05,0.2,0.36,0,156,0cd42be0af24,0.3,0.1,0.0,0.25,0.36,0,77,ae6bd435a202,0
114,realistic,0.85,0.2,0.0,0.1,0.05,1,264,19fab35a51ba,0.6,0.3,0.05,0.2,0.19999999999999998,1,103,8f5c46609ad9,0.4,0.5,0.1,0.3,0.05,1,47,ee36aca71d54,0
115,realistic,0.25,0.15,0.05,0.8,0.18,0,294,bcd4eb8865ad,0.1,0.05,0.2,0.95,0.36,1,124,c0911ec6001b,0.3,0.2,0.1,0.9,0.05,1,46,e0552a57c965,0
116,realistic,0.5,0.5,0.2,0.2,0.15999999999999998,0,365,10b2fd3c2ff7,0.45,0.45,0.25,0.25,0.36,0,296,e0c6fc8f960a,0.4,0.4,0.3,0.3,0.05,0,59,81469f91c5e1,1
117,realistic,0.0,1.0,0.0,0.0,0.09999999999999999,0,300,76737354559e,0.5,0.75,0.25,0.25,0.36,0,169,66b6ad650d48,1.0,1.0,0.0,0.0,0.05,0,49,d3af064eaeed,0
118,realistic,0.42,0.31,0.12,0.85,0.3,0,346,ecd8978bebea,0.35,0.25,0.15,0.9,0.36,0,178,dd7c65090910,0.28,0.2,0.18,0.92,0.26,0,50,4390e30693e9,0
119,realistic,0.55,0.25,0.15,0.8,0.09999999999999999,1,422,aef6280557c0,0.4,0.2,0.3,0.9,0.36,1,130,52f92cbb59a5,0.6,0.15,0.1,0.95,0.09999999999999999,1,37,46c0628ee644,0
120,realistic,0.5,0.25,0.0,0.0,0.19999999999999998,1,358,b16a5e0971ca,0.6,0.3,0.1,0.05,0.36,1,115,af7180ef512c,0.7,0.4,0.0,0.0,0.06,1,52,d01904709066,0
121,realistic,0.45,0.25,0.0,0.1,0.05,0,464,bf142c07370a,0.3,0.15,0.05,0.2,0.42,0,206,3059a52d69af,0.4,0.2,0.0,0.15,0.05,0,35,b3b26774493e,0
122,realistic,0.75,0.25,0.0,0.5,0.09999999999999999,1,425,2959cbbdced1,0.6,0.3,0.1,0.8,0.36,1,167,a197af240a07,0.85,0.15,0.05,0.7,0.05,1,58,97fc710689d5,0
